Data Set,Tokenization method,Dropout Rate,Normalization Method,MSE,CD,MCC,CCC
new_a2d_data_random.csv,TfidfVectorizer,0.1,Interquartile Range,0.38289377093315125,-0.014609813690185547,0.0,4.33664965049374e-10
new_a2d_data_random.csv,TfidfVectorizer,0.1,Winsorization,2.086507797241211,-0.0015147924423217773,0.0,2.967531226310974e-15
new_a2d_data_random.csv,TfidfVectorizer,0.2,none,2.1825039386749268,-0.0019606351852416992,0.0,1.2560044252210838e-14
new_a2d_data_random.csv,TfidfVectorizer,0.2,MinMax Scaling,0.044709835201501846,-1.7642974853515625e-05,0.0,2.7106432654022683e-09
new_a2d_data_random.csv,TfidfVectorizer,0.2,Robust Scaling,2.182285785675049,-0.001856684684753418,0.0,0.0
new_a2d_data_random.csv,TfidfVectorizer,0.2,Interquartile Range,0.3719079792499542,-0.008189201354980469,0.0,2.240721358459652e-10
new_a2d_data_random.csv,TfidfVectorizer,0.2,Winsorization,2.1035003662109375,-0.00967109203338623,0.0,0.0
new_a2d_data_random.csv,TfidfVectorizer,0.3,none,2.1786601543426514,-0.00019609928131103516,0.0,0.0
new_a2d_data_random.csv,TfidfVectorizer,0.3,MinMax Scaling,0.04736298322677612,-0.05936014652252197,0.0,0.0
new_a2d_data_random.csv,TfidfVectorizer,0.3,Robust Scaling,2.2166709899902344,-0.017642498016357422,0.0,-1.789098036386605e-10
new_a2d_data_random.csv,TfidfVectorizer,0.3,Interquartile Range,0.38134315609931946,-1.3113021850585938e-05,0.0,0.0
new_a2d_data_random.csv,TfidfVectorizer,0.3,Winsorization,2.0849971771240234,-0.000789642333984375,0.0,0.0
Data Set,Tokenization method,Dropout Rate,Normalization Method,MSE,CD,MCC,CCC
jak2_data.csv,Dictionary,0.1,none,1.533733606338501,0.06395077705383301,0.0,3.507841794814226e-10
jak2_data.csv,Dictionary,0.1,MinMax Scaling,0.024116644635796547,0.33731138706207275,0.4456927478313446,0.4572204649448395
jak2_data.csv,Dictionary,0.1,Robust Scaling,0.8691790699958801,0.46953487396240234,0.6037647128105164,0.6302475929260254
